protein_A	protein_B	UniProt ID (protein_A)	UniProt ID (protein_B)	source
hscC__b0650__JW0645	rpoD__b3067__JW3039	P77319	P00579	LIT
idnK__b4268__JW4225	rpoD__b3067__JW3039	P39208	P00579	Y2H
pepB__b2523__JW2507	rpoD__b3067__JW3039	P37095	P00579	LIT
rpoA__b3295__JW3257	rpoD__b3067__JW3039	P0A7Z4	P00579	LIT
rpoC__b3988__JW3951	rpoD__b3067__JW3039	P0A8T7	P00579	LIT
rpoD__b3067__JW3039	rpoD__b3067__JW3039	P00579	P00579	Y2H
rpsF__b4200__JW4158	rpoD__b3067__JW3039	P02358	P00579	LIT
rpsG__b3341__JW3303	rpoD__b3067__JW3039	P02359	P00579	LIT
rsd__b3995__JW3959	rpoD__b3067__JW3039	P0AFX4	P00579	Y2H_LIT
secE__b3981__JW3944	rpoD__b3067__JW3039	P0AG96	P00579	Y2H
ypdC__b2382__JW2379	rpoD__b3067__JW3039	P77396	P00579	Y2H
cheR__b1884__JW1873	rpoE__b2573__JW2557	P07364	P0AGB6	Y2H_LIT
fliN__b1946__JW1930	rpoE__b2573__JW2557	P15070	P0AGB6	LIT
rpe__b3386__JW3349	rpoE__b2573__JW2557	P0AG07	P0AGB6	LIT
rpoE__b2573__JW2557	rpoE__b2573__JW2557	P0AGB6	P0AGB6	Y2H_LIT
rseA__b2572__JW2556	rpoE__b2573__JW2557	P0AFX7	P0AGB6	Y2H_LIT
topA__b1274__JW1266	rpoE__b2573__JW2557	P06612	P0AGB6	LIT
dnaJ__b0015__JW0014	rpoH__b3461__JW3426	P08622	P0AGB3	LIT
dnaK__b0014__JW0013	rpoH__b3461__JW3426	P0A6Y8	P0AGB3	LIT
groL__b4143__JW4103	rpoH__b3461__JW3426	P0A6F5	P0AGB3	LIT
grpE__b2614__JW2594	rpoH__b3461__JW3426	P09372	P0AGB3	LIT
pspF__b1303__JW1296	rpoN__b3202__JW3169	P37344	P24255	LIT
yraM__b3147__JW3116	rpoN__b3202__JW3169	P45464	P24255	LIT
crl__b0240__JW0230	rpoS__b2741__JW5437	P24251	P13445	Y2H_LIT
rssB__b1235__JW1223	rpoS__b2741__JW5437	P0AEV1	P13445	LIT
glmU__b3730__JW3708	rpsB__b0169__JW0164	P0ACC7	P0A7V0	LIT
iclR__b4018__JW3978	rpsC__b3314__JW3276	P16528	P0A7V3	LIT
ygdI__b2809__JW5448	rpsC__b3314__JW3276	P65292	P0A7V3	Y2H
yifL__b4558__JW3781	rpsC__b3314__JW3276	P0ADN6	P0A7V3	Y2H
ymfJ__b1144__JW1130	rpsC__b3314__JW3276	NoData	P0A7V3	Y2H
fldA__b0684__JW0671	rpsD__b3296__JW3258	P61949	P0A7V8	Y2H
rng__b3247__JW3216	rpsD__b3296__JW3258	P0A9J0	P0A7V8	LIT
rpsH__b3306__JW3268	rpsD__b3296__JW3258	P0A7W7	P0A7V8	Y2H
fldA__b0684__JW0671	rpsE__b3303__JW3265	P61949	P0A7W1	Y2H
rnb__b1286__JW1279	rpsE__b3303__JW3265	P30850	P0A7W1	Y2H_LIT
dnaX__b0470__JW0459	rpsF__b4200__JW4158	P06710	P02358	LIT
iclR__b4018__JW3978	rpsF__b4200__JW4158	P16528	P02358	LIT
rne__b1084__JW1071	rpsF__b4200__JW4158	P21513	P02358	LIT
rpsR__b4202__JW4160	rpsF__b4200__JW4158	P0A7T7	P02358	Y2H
selB__b3590__JW3563	rpsF__b4200__JW4158	P14081	P02358	LIT
trmE__b3706__JW3684	rpsF__b4200__JW4158	P25522	P02358	LIT
uvrD__b3813__JW3786	rpsF__b4200__JW4158	P03018	P02358	LIT
dusC__b2140__JW2128	rpsG__b3341__JW3303	P33371	P02359	LIT
helD__b0962__JW0945	rpsG__b3341__JW3303	P15038	P02359	LIT
iclR__b4018__JW3978	rpsG__b3341__JW3303	P16528	P02359	LIT
infC__b1718__JW5829	rpsG__b3341__JW3303	P0A707	P02359	LIT
mukB__b0924__JW0907	rpsG__b3341__JW3303	P22523	P02359	LIT
pnp__b3164__JW5851	rpsG__b3341__JW3303	P05055	P02359	LIT
rne__b1084__JW1071	rpsG__b3341__JW3303	P21513	P02359	LIT
rsgA__b4161__JW4122	rpsG__b3341__JW3303	P39286	P02359	LIT
selB__b3590__JW3563	rpsG__b3341__JW3303	P14081	P02359	LIT
topA__b1274__JW1266	rpsG__b3341__JW3303	P06612	P02359	LIT
trmE__b3706__JW3684	rpsG__b3341__JW3303	P25522	P02359	LIT
uvrD__b3813__JW3786	rpsG__b3341__JW3303	P03018	P02359	LIT
ydcP__b1435__JW1431	rpsG__b3341__JW3303	P76104	P02359	LIT
fliI__b1941__JW1925	rpsH__b3306__JW3268	P52612	P0A7W7	Y2H
pntA__b1603__JW1595	rpsH__b3306__JW3268	P07001	P0A7W7	Y2H
rpmF__b1089__JW1075	rpsH__b3306__JW3268	P0A7N4	P0A7W7	Y2H
rpsH__b3306__JW3268	rpsH__b3306__JW3268	P0A7W7	P0A7W7	Y2H
yfaY__b2249__JW2243	rpsH__b3306__JW3268	P77808	P0A7W7	Y2H
ygeV__b2869__JW2837	rpsH__b3306__JW3268	Q46802	P0A7W7	Y2H
frvA__b3900__JW3871	rpsI__b3230__JW3199	P32155	P0A7X3	LIT
ymfJ__b1144__JW1130	rpsI__b3230__JW3199	NoData	P0A7X3	Y2H
rsuA__b2183__JW2171	rpsJ__b3321__JW3283	P0AA43	P0A7R5	LIT
prfA__b1211__JW1202	rpsL__b3342__JW3304	P0A7I0	P0A7S3	LIT
rpsH__b3306__JW3268	rpsR__b4202__JW4160	P0A7W7	P0A7T7	Y2H
cheA__b1888__JW1877	rpsS__b3316__JW3278	P07363	P0A7U3	LIT
fliG__b1939__JW1923	rpsS__b3316__JW3278	P0ABZ1	P0A7U3	LIT
gyrA__b2231__JW2225	rpsS__b3316__JW3278	P0AES4	P0A7U3	LIT
rpoE__b2573__JW2557	rpsS__b3316__JW3278	P0AGB6	P0A7U3	LIT
rpsH__b3306__JW3268	rpsS__b3316__JW3278	P0A7W7	P0A7U3	Y2H
rpsH__b3306__JW3268	rpsU__b3065__JW3037	P0A7W7	P68679	Y2H
rne__b1084__JW1071	rraA__b3929__JW3900	P21513	P0A8R0	LIT
pgpB__b1278__JW1270	rrmA__b1822__JW1811	P0A924	P36999	LIT
rpoD__b3067__JW3039	rsd__b3995__JW3959	P00579	P0AFX4	Y2H_LIT
rsd__b3995__JW3959	rsd__b3995__JW3959	P0AFX4	P0AFX4	Y2H_LIT
rpoE__b2573__JW2557	rseA__b2572__JW2556	P0AGB6	P0AFX7	Y2H_LIT
rseA__b2572__JW2556	rseB__b2571__JW2555	P0AFX7	P0AFX9	LIT
groL__b4143__JW4103	rsgA__b4161__JW4122	P0A6F5	P39286	LIT
ydaY__b1366__JW1360	rsgA__b4161__JW4122	P76069	P39286	LIT
yjiT__b4342__JW5787	rsgA__b4161__JW4122	P39391	P39286	Y2H
groL__b4143__JW4103	rspA__b1581__JW1573	P0A6F5	P38104	LIT
asr__b1597__JW5826	rspB__b1580__JW1572	P36560	P38105	Y2H
groL__b4143__JW4103	rssA__b1234__JW1222	P0A6F5	P0AFR0	LIT
ynfE__b1587__JW1579	rssB__b1235__JW1223	P77374	P0AEV1	LIT
kdpE__b0694__JW5096	rstA__b1608__JW1600	P21866	P52108	LIT
rstA__b1608__JW1600	rstA__b1608__JW1600	P52108	P52108	LIT
rstB__b1609__JW1601	rstA__b1608__JW1600	P18392	P52108	LIT
topA__b1274__JW1266	rstA__b1608__JW1600	P06612	P52108	LIT
bcsA__b3533__JW5665	rsxG__b1631__JW1623	P37653	P77285	Y2H
rsxG__b1631__JW1623	rsxG__b1631__JW1623	P77285	P77285	Y2H
cusB__b0574__JW0563	rtcB__b3421__JW3384	P77239	P46850	LIT
ruvA__b1861__JW1850	ruvA__b1861__JW1850	P0A809	P0A809	Y2H
ruvB__b1860__JW1849	ruvA__b1861__JW1850	P0A812	P0A809	LIT
cheR__b1884__JW1873	ruvB__b1860__JW1849	P07364	P0A812	LIT
groL__b4143__JW4103	ruvC__b1863__JW1852	P0A6F5	P0A814	LIT
lnt__b0657__JW0654	rzpR__b1362__JW5212	P23930	P77551	Y2H
rplK__b3983__JW3946	rzpR__b1362__JW5212	P0A7J7	P77551	Y2H
xerC__b3811__JW3784	rzpR__b1362__JW5212	P0A8P6	P77551	Y2H
ybiT__b0820__JW0804	sapF__b1290__JW1283	P0A9U3	P0AAH8	Y2H_LIT
ycdP__b1021__JW1006	sapF__b1290__JW1283	P69432	P0AAH8	Y2H
holC__b4259__JW4216	sbcB__b2011__JW1993	P28905	P04995	LIT
recJ__b2892__JW2860	sbcB__b2011__JW1993	P21893	P04995	LIT
rluA__b0058__JW0057	sbcD__b0398__JW0388	P0AA37	P0AG76	Y2H
thiL__b0417__JW0407	sbcD__b0398__JW0388	P0AGG0	P0AG76	Y2H
gyrA__b2231__JW2225	sbmC__b2009__JW1991	P0AES4	P33012	LIT
trxB__b0888__JW0871	sbmC__b2009__JW1991	P0A9P4	P33012	Y2H
narJ__b1226__JW1217	sdhA__b0723__JW0713	P0AF26	P0AC41	LIT
polB__b0060__JW0059	sdhA__b0723__JW0713	P21189	P0AC41	LIT
groL__b4143__JW4103	sdhB__b0724__JW0714	P0A6F5	P07014	LIT
hslR__b3400__JW3363	sdhB__b0724__JW0714	P0ACG8	P07014	Y2H
sdhA__b0723__JW0713	sdhB__b0724__JW0714	P0AC41	P07014	Y2H_LIT
yihL__b3872__JW3843	sdhB__b0724__JW0714	P0ACM9	P07014	Y2H
sdhB__b0724__JW0714	sdhC__b0721__JW0711	P07014	P69054	LIT
exo__b2798__JW5446	sdiA__b1916__JW1901	P38506	P07026	Y2H
pfs__b0159__JW0155	sdiA__b1916__JW1901	P0AF12	P07026	Y2H
prfB__b2891__JW5847	sdiA__b1916__JW1901	P07012	P07026	Y2H
secA__b0098__JW0096	secA__b0098__JW0096	P10408	P10408	LIT
secY__b3300__JW3262	secA__b0098__JW0096	P0AGA2	P10408	LIT
tufB__b3980__JW3943	secA__b0098__JW0096	P0A6N1	P10408	LIT
groL__b4143__JW4103	secB__b3609__JW3584	P0A6F5	P0AG86	LIT
ompA__b0957__JW0940	secB__b3609__JW3584	P0A910	P0AG86	LIT
secA__b0098__JW0096	secB__b3609__JW3584	P10408	P0AG86	LIT
yidC__b3705__JW3683	secD__b0408__JW0398	P25714	P0AG90	LIT
secA__b0098__JW0096	secE__b3981__JW3944	P10408	P0AG96	LIT
secE__b3981__JW3944	secE__b3981__JW3944	P0AG96	P0AG96	LIT
secY__b3300__JW3262	secE__b3981__JW3944	P0AGA2	P0AG96	LIT
secD__b0408__JW0398	secF__b0409__JW0399	P0AG90	P0AG93	LIT
secA__b0098__JW0096	secG__b3175__JW3142	P10408	P0AG99	Y2H_LIT
secY__b3300__JW3262	secG__b3175__JW3142	P0AGA2	P0AG99	LIT
aceF__b0115__JW0111	selB__b3590__JW3563	P06959	P14081	LIT
serC__b0907__JW0890	selB__b3590__JW3563	P23721	P14081	LIT
ydcP__b1435__JW1431	selB__b3590__JW3563	P76104	P14081	LIT
seqA__b0687__JW0674	seqA__b0687__JW0674	P0AFY8	P0AFY8	Y2H_LIT
nadE__b1740__JW1729	serB__b4388__JW4351	P18843	P0AGB0	LIT
dnaK__b0014__JW0013	serC__b0907__JW0890	P0A6Y8	P23721	LIT
serS__b0893__JW0876	serS__b0893__JW0876	P0A8L1	P0A8L1	Y2H
apaH__b0049__JW0048	sfmA__b0530__JW0519	P05637	P0ABW5	Y2H
cysM__b2421__JW2414	sfmA__b0530__JW0519	P16703	P0ABW5	Y2H
ddlB__b0092__JW0090	sfmA__b0530__JW0519	P07862	P0ABW5	Y2H
galE__b0759__JW0742	sfmA__b0530__JW0519	P09147	P0ABW5	Y2H
glgX__b3431__JW3394	sfmA__b0530__JW0519	P15067	P0ABW5	Y2H
hypF__b2712__JW5433	sfmA__b0530__JW0519	P30131	P0ABW5	Y2H
kptA__b4331__JW5784	sfmA__b0530__JW0519	P39380	P0ABW5	Y2H
murA__b3189__JW3156	sfmA__b0530__JW0519	P0A749	P0ABW5	Y2H
xylH__b3568__JW3540	sfmA__b0530__JW0519	P0AGI4	P0ABW5	Y2H
yccX__b0968__JW5131	sfmA__b0530__JW0519	P0AB65	P0ABW5	Y2H
yheS__b3352__JW3315	sfmA__b0530__JW0519	P63389	P0ABW5	Y2H
yiiT__b3923__JW3894	sfmA__b0530__JW0519	P0AAB8	P0ABW5	Y2H
ynaI__b1330__JW1323	sfmA__b0530__JW0519	P0AEB5	P0ABW5	Y2H
proA__b0243__JW0233	sfsA__b0146__JW0142	P07004	P0A823	Y2H
yehT__b2125__JW5352	sfsA__b0146__JW0142	P0AFT5	P0A823	Y2H
groL__b4143__JW4103	sgbH__b3581__JW3553	P0A6F5	P37678	LIT
nudF__b3034__JW3002	sgbH__b3581__JW3553	Q93K97	P37678	LIT
groL__b4143__JW4103	sgcQ__b4303__JW4265	P0A6F5	P39364	LIT
groL__b4143__JW4103	sgcR__b4300__JW4262	P0A6F5	P39361	LIT
slp__b3506__JW3474	slp__b3506__JW3474	P37194	P37194	Y2H_LIT
mltB__b2701__JW2671	slt__b4392__JW4355	P41052	P0AGC3	LIT
hypB__b2727__JW2697	slyD__b3349__JW3311	P0AAN3	P0A9K9	LIT
murD__b0088__JW0086	slyD__b3349__JW3311	P14900	P0A9K9	LIT
smpB__b2620__JW2601	smpB__b2620__JW2601	P0A832	P0A832	Y2H
cyaA__b3806__JW3778	sohA__b3129__JW3098	P00936	P15373	Y2H
mutM__b3635__JW3610	sohA__b3129__JW3098	P05523	P15373	Y2H
yhdE__b3248__JW3217	sohA__b3129__JW3098	P25536	P15373	Y2H
rpoA__b3295__JW3257	soxS__b4062__JW4023	P0A7Z4	P0A9E2	LIT
ytfK__b4217__JW5749	soxS__b4062__JW4023	P0ADE2	P0A9E2	Y2H
speA__b2938__JW2905	speA__b2938__JW2905	P21170	P21170	Y2H
dapD__b0166__JW0161	speB__b2937__JW2904	P0A9D8	P60651	LIT
acpP__b1094__JW1080	spoT__b3650__JW3625	P0A6A8	P0AG24	LIT
groL__b4143__JW4103	sppA__b1766__JW1755	P0A6F5	P08395	LIT
yejK__b2186__JW2174	spy__b1743__JW1732	P33920	P77754	LIT
ptsG__b1101__JW1087	srlB__b2704__JW2673	P69786	P05706	LIT
ptsH__b2415__JW2408	srlB__b2704__JW2673	P0AA04	P05706	LIT
pflB__b0903__JW0886	srlR__b2707__JW2676	P09373	P15082	Y2H_LIT
rplO__b3301__JW3263	srlR__b2707__JW2676	P02413	P15082	LIT
ynbC__b1410__JW1407	srlR__b2707__JW2676	P76092	P15082	Y2H_LIT
pnp__b3164__JW5851	srmB__b2576__JW2560	P05055	P21507	Y2H_LIT
rne__b1084__JW1071	srmB__b2576__JW2560	P21513	P21507	Y2H_LIT
selB__b3590__JW3563	srmB__b2576__JW2560	P14081	P21507	LIT
srmB__b2576__JW2560	srmB__b2576__JW2560	P21507	P21507	Y2H
topA__b1274__JW1266	srmB__b2576__JW2560	P06612	P21507	LIT
tufB__b3980__JW3943	srmB__b2576__JW2560	P0A6N1	P21507	LIT
yodC__b1957__JW1940	srmB__b2576__JW2560	P64517	P21507	LIT
dnaX__b0470__JW0459	ssb__b4059__JW4020	P06710	P0AGE0	Y2H_LIT
groL__b4143__JW4103	ssb__b4059__JW4020	P0A6F5	P0AGE0	LIT
recF__b3700__JW3677	ssb__b4059__JW4020	P0A7H0	P0AGE0	LIT
recO__b2565__JW2549	ssb__b4059__JW4020	P0A7H3	P0AGE0	LIT
dinD__b3645__JW3620	sseB__b2522__JW5404	P23840	P0AFZ1	Y2H
yhiQ__b3497__JW5672	sseB__b2522__JW5404	P68567	P0AFZ1	Y2H
uvrD__b3813__JW3786	ssnA__b2879__JW2847	P03018	Q46812	LIT
sspA__b3229__JW3198	sspA__b3229__JW3198	P0ACA3	P0ACA3	Y2H
clpX__b0438__JW0428	sspB__b3228__JW3197	P0A6H1	P0AFZ3	LIT
cysM__b2421__JW2414	ssuB__b0933__JW0916	P16703	P0AAI1	Y2H
mntR__b0817__JW0801	ssuD__b0935__JW0918	P0A9F1	P80645	Y2H
minD__b1175__JW1164	stfQ__b1547__JW1540	P0AEZ3	P77515	Y2H
dhaH__b1198__JW5185	stfR__b1372__JW1366	P37349	P76072	LIT
ssuE__b0937__JW0920	stfR__b1372__JW1366	P80644	P76072	Y2H
yjeH__b4141__JW4101	stfR__b1372__JW1366	P39277	P76072	Y2H
hns__b1237__JW1225	stpA__b2669__JW2644	P0ACF8	P0ACG1	Y2H_LIT
sucA__b0726__JW0715	sucA__b0726__JW0715	P0AFG3	P0AFG3	Y2H_LIT
sucB__b0727__JW0716	sucA__b0726__JW0715	P0AFG6	P0AFG3	Y2H
sucB__b0727__JW0716	sucB__b0727__JW0716	P0AFG6	P0AFG6	Y2H
sucC__b0728__JW0717	sucD__b0729__JW0718	P0A836	P0AGE9	LIT
sufC__b1682__JW1672	sufB__b1683__JW5273	P77499	P77522	Y2H_LIT
sufD__b1681__JW1671	sufB__b1683__JW5273	P77689	P77522	LIT
sufD__b1681__JW1671	sufC__b1682__JW1672	P77689	P77499	Y2H_LIT
sufI__b3017__JW2985	sufI__b3017__JW2985	P26648	P26648	Y2H
tatC__b3839__JW3815	sufI__b3017__JW2985	P69423	P26648	LIT
yfbN__b2273__JW2268	sufI__b3017__JW2985	P76484	P26648	Y2H
sufE__b1679__JW1669	sufS__b1680__JW1670	P76194	P77444	LIT
envR__b3264__JW3232	suhB__b2533__JW2517	P0ACT2	P0ADG4	Y2H
gltF__b3214__JW3181	suhB__b2533__JW2517	P28721	P0ADG4	Y2H
ptsN__b3204__JW3171	suhB__b2533__JW2517	P69829	P0ADG4	Y2H
yhcF__b3219__JW3188	suhB__b2533__JW2517	P45422	P0ADG4	Y2H
ftsZ__b0095__JW0093	sulA__b0958__JW0941	P0A9A6	P0AFZ5	LIT
hslU__b3931__JW3902	sulA__b0958__JW0941	P0A6H5	P0AFZ5	LIT
lon__b0439__JW0429	sulA__b0958__JW0941	P0A9M0	P0AFZ5	LIT
secY__b3300__JW3262	syd__b2793__JW2764	P0AGA2	P0A8U0	LIT
aceE__b0114__JW0110	tag__b3549__JW3518	P0AFG8	P05100	LIT
yggC__b2928__JW2895	talA__b2464__JW2448	P11664	P0A867	LIT
cheA__b1888__JW1877	tar__b1886__JW1875	P07363	P07017	LIT
cheW__b1887__JW1876	tar__b1886__JW1875	P0A964	P07017	LIT
cheZ__b1881__JW1870	tar__b1886__JW1875	P0A9H9	P07017	LIT
tar__b1886__JW1875	tar__b1886__JW1875	P07017	P07017	LIT
tatA__b3836__JW3813	tatB__b3838__JW5580	P69428	P69425	LIT
tatA__b3836__JW3813	tatC__b3839__JW3815	P69428	P69423	LIT
tatB__b3838__JW5580	tatC__b3839__JW3815	P69425	P69423	LIT
crl__b0240__JW0230	tatE__b0627__JW0622	P24251	P0A843	LIT
tnaA__b3708__JW3686	tauA__b0365__JW0357	P0A853	Q47537	LIT
modC__b0765__JW0748	tdcG__b4471__JW5520	P09833	P42630	Y2H
vacJ__b2346__JW2343	tdcG__b4471__JW5520	P76506	P42630	Y2H
groL__b4143__JW4103	tdh__b3616__JW3591	P0A6F5	P07913	Y2H_LIT
atpA__b3734__JW3712	tfaE__b1156__JW1142	P0ABB0	P09153	Y2H
galE__b0759__JW0742	tfaE__b1156__JW1142	P09147	P09153	Y2H
galK__b0757__JW0740	tfaE__b1156__JW1142	P0A6T3	P09153	Y2H
glnL__b3869__JW3840	tfaE__b1156__JW1142	P0AFB5	P09153	Y2H
grxA__b0849__JW0833	tfaE__b1156__JW1142	P68688	P09153	Y2H
mhpB__b0348__JW0339	tfaE__b1156__JW1142	P0ABR9	P09153	Y2H
rpmE__b3936__JW3907	tfaE__b1156__JW1142	P0A7M9	P09153	Y2H
yaiA__b0389__JW0380	tfaE__b1156__JW1142	P0AAN5	P09153	Y2H
ybdH__b0599__JW0592	tfaE__b1156__JW1142	P45579	P09153	Y2H
ybeM__b0626__JW0621	tfaE__b1156__JW1142	P39874	P09153	Y2H
ycbC__b0920__JW0903	tfaE__b1156__JW1142	P0AB01	P09153	Y2H
yggU__b2953__JW5479	tfaE__b1156__JW1142	P52060	P09153	Y2H
yhiQ__b3497__JW5672	tfaE__b1156__JW1142	P68567	P09153	Y2H
yjcB__b4060__JW5718	tfaE__b1156__JW1142	P32700	P09153	Y2H
ypdE__b2384__JW2381	tfaE__b1156__JW1142	P77585	P09153	Y2H
ytfQ__b4227__JW4186	tfaE__b1156__JW1142	P39325	P09153	Y2H
groL__b4143__JW4103	thiD__b2103__JW2090	P0A6F5	P76422	LIT
citX__b0614__JW0606	thiF__b3992__JW3956	P0A6G5	P30138	Y2H
nrdD__b4238__JW4197	thiF__b3992__JW3956	P28903	P30138	Y2H
groL__b4143__JW4103	thiG__b3991__JW5549	P0A6F5	P30139	LIT
groL__b4143__JW4103	thiH__b3990__JW3953	P0A6F5	P30140	LIT
groL__b4143__JW4103	thrS__b1719__JW1709	P0A6F5	P0A8M3	LIT
rplA__b3984__JW3947	thrS__b1719__JW1709	P0A7L0	P0A8M3	LIT
thrS__b1719__JW1709	thrS__b1719__JW1709	P0A8M3	P0A8M3	Y2H
dnaK__b0014__JW0013	tig__b0436__JW0426	P0A6Y8	P0A850	LIT
rbsA__b3749__JW3728	tig__b0436__JW0426	P04983	P0A850	LIT
tilS__b0188__JW0183	tilS__b0188__JW0183	P52097	P52097	Y2H
yhiF__b3507__JW3475	tilS__b0188__JW0183	P37195	P52097	Y2H
dnaK__b0014__JW0013	tnaA__b3708__JW3686	P0A6Y8	P0A853	LIT
tnaA__b3708__JW3686	tnaA__b3708__JW3686	P0A853	P0A853	Y2H
ompC__b2215__JW2203	tolA__b0739__JW0729	P06996	P19934	LIT
phoE__b0241__JW0231	tolA__b0739__JW0729	P02932	P19934	LIT
btuB__b3966__JW3938	tolB__b0740__JW5100	P06129	P0A855	LIT
fecA__b4291__JW4251	tolB__b0740__JW5100	P13036	P0A855	LIT
ompC__b2215__JW2203	tolB__b0740__JW5100	P06996	P0A855	LIT
ompF__b0929__JW0912	tolB__b0740__JW5100	P02931	P0A855	LIT
phoE__b0241__JW0231	tolB__b0740__JW5100	P02932	P0A855	LIT
tolA__b0739__JW0729	tolB__b0740__JW5100	P19934	P0A855	LIT
tolC__b3035__JW5503	tolB__b0740__JW5100	P02930	P0A855	Y2H_LIT
acrA__b0463__JW0452	tolC__b3035__JW5503	P0AE06	P02930	LIT
tolA__b0739__JW0729	tolQ__b0737__JW0727	P19934	P0ABU9	LIT
tolQ__b0737__JW0727	tolQ__b0737__JW0727	P0ABU9	P0ABU9	LIT
tolA__b0739__JW0729	tolR__b0738__JW0728	P19934	P0ABV6	LIT
tolQ__b0737__JW0727	tolR__b0738__JW0728	P0ABU9	P0ABV6	LIT
rfbB__b2041__JW2026	tonB__b1252__JW5195	P37759	P02929	Y2H
aceF__b0115__JW0111	topA__b1274__JW1266	P06959	P06612	LIT
holC__b4259__JW4216	topA__b1274__JW1266	P28905	P06612	LIT
rbsB__b3751__JW3730	topA__b1274__JW1266	P02925	P06612	Y2H
topB__b1763__JW1752	topA__b1274__JW1266	P14294	P06612	LIT
ybhK__b0780__JW0763	topA__b1274__JW1266	P75767	P06612	Y2H
yigZ__b3848__JW5577	topA__b1274__JW1266	P27862	P06612	LIT
aceF__b0115__JW0111	topB__b1763__JW1752	P06959	P14294	LIT
frlR__b3375__JW5698	topB__b1763__JW1752	P45544	P14294	LIT
holC__b4259__JW4216	topB__b1763__JW1752	P28905	P14294	LIT
holD__b4372__JW4334	topB__b1763__JW1752	P28632	P14294	Y2H_LIT
hscC__b0650__JW0645	topB__b1763__JW1752	P77319	P14294	LIT
torC__b0996__JW0981	torA__b0997__JW0982	P33226	P33225	LIT
torD__b0998__JW0983	torA__b0997__JW0982	P36662	P33225	LIT
lpxB__b0182__JW0177	torC__b0996__JW0981	P10441	P33226	LIT
rzpR__b1362__JW5212	torD__b0998__JW0983	P77551	P36662	Y2H
yfgM__b2513__JW2497	torD__b0998__JW0983	P76576	P36662	Y2H
yidL__b3680__JW3656	torD__b0998__JW0983	P31449	P36662	Y2H
sixA__b2340__JW2337	torI__b4501__JW5387	P76502	Q2EES9	Y2H
rplB__b3317__JW3279	torR__b0995__JW0980	P60422	P38684	LIT
torR__b0995__JW0980	torR__b0995__JW0980	P38684	P38684	LIT
torC__b0996__JW0981	torS__b0993__JW5135	P33226	P39453	LIT
torR__b0995__JW0980	torS__b0993__JW5135	P38684	P39453	Y2H_LIT
phnJ__b4098__JW4059	tpiA__b3919__JW3890	P16688	P0A858	LIT
dps__b0812__JW0797	tpx__b1324__JW1317	P0ABT2	P0A862	LIT
frr__b0172__JW0167	tpx__b1324__JW1317	P0A805	P0A862	Y2H
yjgI__b4249__JW4207	treR__b4241__JW4200	P39333	P36673	LIT
frlD__b3374__JW3337	trg__b1421__JW1417	P45543	P05704	Y2H
mglB__b2150__JW2137	trg__b1421__JW1417	P0AEE5	P05704	LIT
rne__b1084__JW1071	trmA__b3965__JW3937	P21513	P23003	LIT
polA__b3863__JW3835	trmC__b2324__JW5380	P00582	P77182	LIT
trmD__b2607__JW2588	trmD__b2607__JW2588	P0A873	P0A873	Y2H
gidA__b3741__JW3719	trmE__b3706__JW3684	P0A6U3	P25522	Y2H_LIT
secA__b0098__JW0096	trmE__b3706__JW3684	P10408	P25522	LIT
ycdP__b1021__JW1006	trmE__b3706__JW3684	P69432	P25522	Y2H
aroE__b3281__JW3242	trmH__b3651__JW3626	P15770	P0AGJ2	Y2H
def__b3287__JW3248	trmH__b3651__JW3626	P0A6K3	P0AGJ2	Y2H
holA__b0640__JW0635	trmH__b3651__JW3626	P28630	P0AGJ2	Y2H
nlpA__b3661__JW3635	trmH__b3651__JW3626	P04846	P0AGJ2	Y2H
pyrC__b1062__JW1049	trmH__b3651__JW3626	P05020	P0AGJ2	Y2H
trmH__b3651__JW3626	trmH__b3651__JW3626	P0AGJ2	P0AGJ2	Y2H
ybjN__b0853__JW0837	trmH__b3651__JW3626	P0AAY6	P0AGJ2	Y2H
prlC__b3498__JW3465	trmU__b1133__JW1119	P27298	P25745	Y2H
secA__b0098__JW0096	trmU__b1133__JW1119	P10408	P25745	LIT
trpA__b1260__JW1252	trpA__b1260__JW1252	P0A877	P0A877	LIT
vacJ__b2346__JW2343	trpB__b1261__JW1253	P76506	P0A879	Y2H
bioB__b0775__JW0758	trpE__b1264__JW1256	P12996	P00895	Y2H
cyaA__b3806__JW3778	trpE__b1264__JW1256	P00936	P00895	Y2H
mhpE__b0352__JW0343	trpE__b1264__JW1256	P51020	P00895	Y2H
yiiT__b3923__JW3894	trpE__b1264__JW1256	P0AAB8	P00895	Y2H
gatY__b2096__JW5343	truA__b2318__JW2315	P37192	P07649	LIT
cysN__b2751__JW2721	truD__b2745__JW2715	P23845	Q57261	LIT
ygeH__b2852__JW2820	truD__b2745__JW2715	P76639	Q57261	Y2H
ptsP__b2829__JW2797	trxA__b3781__JW5856	P37177	P0AA25	Y2H
wbbL__b4540__JW2012	trxA__b3781__JW5856	NoData	P0AA25	Y2H
bolA__b0435__JW5060	trxB__b0888__JW0871	P0ABE2	P0A9P4	Y2H
trxA__b3781__JW5856	trxB__b0888__JW0871	P0AA25	P0A9P4	Y2H_LIT
ptsP__b2829__JW2797	trxC__b2582__JW2566	P37177	P0AGG4	Y2H
ydfT__b1559__JW1551	trxC__b2582__JW2566	P76161	P0AGG4	Y2H
groL__b4143__JW4103	ttdB__b3062__JW3034	P0A6F5	P0AC35	LIT
